sepal_length_cm,sepal_width_cm,petal_length_cm,petal_width_cm,target,target_names,pl_pw_ratio,sepal_diff,abs_sepal_diff,pw_pl_sum
5.1,3.5,1.4,0.2,0,setosa,6.999999999999999,1.5999999999999996,1.5999999999999996,1.5999999999999999
4.9,3.0,1.4,0.2,0,setosa,6.999999999999999,1.9000000000000004,1.9000000000000004,1.5999999999999999
4.7,3.2,1.3,0.2,0,setosa,6.5,1.5,1.5,1.5
4.6,3.1,1.5,0.2,0,setosa,7.5,1.4999999999999996,1.4999999999999996,1.7
5.0,3.6,1.4,0.2,0,setosa,6.999999999999999,1.4,1.4,1.5999999999999999
5.4,3.9,1.7,0.4,0,setosa,4.25,1.5000000000000004,1.5000000000000004,2.1
4.6,3.4,1.4,0.3,0,setosa,4.666666666666667,1.1999999999999997,1.1999999999999997,1.7
5.0,3.4,1.5,0.2,0,setosa,7.5,1.6,1.6,1.7
4.4,2.9,1.4,0.2,0,setosa,6.999999999999999,1.5000000000000004,1.5000000000000004,1.5999999999999999
4.9,3.1,1.5,0.1,0,setosa,15.0,1.8000000000000003,1.8000000000000003,1.6
5.4,3.7,1.5,0.2,0,setosa,7.5,1.7000000000000002,1.7000000000000002,1.7
4.8,3.4,1.6,0.2,0,setosa,8.0,1.4,1.4,1.8
4.8,3.0,1.4,0.1,0,setosa,13.999999999999998,1.7999999999999998,1.7999999999999998,1.5
4.3,3.0,1.1,0.1,0,setosa,11.0,1.2999999999999998,1.2999999999999998,1.2000000000000002
5.8,4.0,1.2,0.2,0,setosa,5.999999999999999,1.7999999999999998,1.7999999999999998,1.4
5.7,4.4,1.5,0.4,0,setosa,3.75,1.2999999999999998,1.2999999999999998,1.9
5.4,3.9,1.3,0.4,0,setosa,3.25,1.5000000000000004,1.5000000000000004,1.7000000000000002
5.1,3.5,1.4,0.3,0,setosa,4.666666666666667,1.5999999999999996,1.5999999999999996,1.7
5.7,3.8,1.7,0.3,0,setosa,5.666666666666667,1.9000000000000004,1.9000000000000004,2.0
5.1,3.8,1.5,0.3,0,setosa,5.0,1.2999999999999998,1.2999999999999998,1.8
5.4,3.4,1.7,0.2,0,setosa,8.5,2.0000000000000004,2.0000000000000004,1.9
5.1,3.7,1.5,0.4,0,setosa,3.75,1.3999999999999995,1.3999999999999995,1.9
4.6,3.6,1.0,0.2,0,setosa,5.0,0.9999999999999996,0.9999999999999996,1.2
5.1,3.3,1.7,0.5,0,setosa,3.4,1.7999999999999998,1.7999999999999998,2.2
4.8,3.4,1.9,0.2,0,setosa,9.499999999999998,1.4,1.4,2.1
5.0,3.0,1.6,0.2,0,setosa,8.0,2.0,2.0,1.8
5.0,3.4,1.6,0.4,0,setosa,4.0,1.6,1.6,2.0
5.2,3.5,1.5,0.2,0,setosa,7.5,1.7000000000000002,1.7000000000000002,1.7
5.2,3.4,1.4,0.2,0,setosa,6.999999999999999,1.8000000000000003,1.8000000000000003,1.5999999999999999
4.7,3.2,1.6,0.2,0,setosa,8.0,1.5,1.5,1.8
4.8,3.1,1.6,0.2,0,setosa,8.0,1.6999999999999997,1.6999999999999997,1.8
5.4,3.4,1.5,0.4,0,setosa,3.75,2.0000000000000004,2.0000000000000004,1.9
5.2,4.1,1.5,0.1,0,setosa,15.0,1.1000000000000005,1.1000000000000005,1.6
5.5,4.2,1.4,0.2,0,setosa,6.999999999999999,1.2999999999999998,1.2999999999999998,1.5999999999999999
4.9,3.1,1.5,0.2,0,setosa,7.5,1.8000000000000003,1.8000000000000003,1.7
5.0,3.2,1.2,0.2,0,setosa,5.999999999999999,1.7999999999999998,1.7999999999999998,1.4
5.5,3.5,1.3,0.2,0,setosa,6.5,2.0,2.0,1.5
4.9,3.6,1.4,0.1,0,setosa,13.999999999999998,1.3000000000000003,1.3000000000000003,1.5
4.4,3.0,1.3,0.2,0,setosa,6.5,1.4000000000000004,1.4000000000000004,1.5
5.1,3.4,1.5,0.2,0,setosa,7.5,1.6999999999999997,1.6999999999999997,1.7
5.0,3.5,1.3,0.3,0,setosa,4.333333333333334,1.5,1.5,1.6
4.5,2.3,1.3,0.3,0,setosa,4.333333333333334,2.2,2.2,1.6
4.4,3.2,1.3,0.2,0,setosa,6.5,1.2000000000000002,1.2000000000000002,1.5
5.0,3.5,1.6,0.6,0,setosa,2.666666666666667,1.5,1.5,2.2
5.1,3.8,1.9,0.4,0,setosa,4.749999999999999,1.2999999999999998,1.2999999999999998,2.3
4.8,3.0,1.4,0.3,0,setosa,4.666666666666667,1.7999999999999998,1.7999999999999998,1.7
5.1,3.8,1.6,0.2,0,setosa,8.0,1.2999999999999998,1.2999999999999998,1.8
4.6,3.2,1.4,0.2,0,setosa,6.999999999999999,1.3999999999999995,1.3999999999999995,1.5999999999999999
5.3,3.7,1.5,0.2,0,setosa,7.5,1.5999999999999996,1.5999999999999996,1.7
5.0,3.3,1.4,0.2,0,setosa,6.999999999999999,1.7000000000000002,1.7000000000000002,1.5999999999999999
7.0,3.2,4.7,1.4,1,versicolor,3.3571428571428577,3.8,3.8,6.1
6.4,3.2,4.5,1.5,1,versicolor,3.0,3.2,3.2,6.0
